lab_ID,reference,order,bangor_other,bio_rep,ESP_deploymnet,ESP_phase,field_deployment_no,sample_type,collected_by,volume_filtered_ml,filter_type,pore_size_um,date_collected,time_collected,onsite_or_offsite,date_filtered,time_filtered,t_from_t0_min,sampling_location,lat,long,depth_m,field_ID,preservation,date_extracted,EX_no,EX_link,extraction_method,extractor,lab,volume_used_extraction_ul,volume_elution_ul,elution_liq,conc_ng_per_ul,quibit_HS_or_BS,internal_ID_DNA,location_sample,location_DNA,field_notes,lab_notes,decay_t_from_t0
52345-079,vacuum_longmires_zymo_1,186,bangor,1,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,1500,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_1,longmires,2023-04-05,EX110,EX110,zymo,Megan Shaffer,CEG,,100,Zymo EB,1.83,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,slight filter tear because jacuzzi from pump,
52345-088,field negative_1,195,bangor,1,,,2,FN,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_10,longmires,2023-03-30,EX111,EX111,PC,Megan Shaffer,NWFSC,,100,TlowE,TL,,,,,"field negative broke open and leaked, filtered ~2L",,
52345-114,extra_vacuum_longmires_PCI_2,206,bangor,2,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,1504,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_15,longmires,2023-03-30,EX111,EX111,PC,Megan Shaffer,NWFSC,,100,TlowE,25.8,,,,,"from net pen, colder water; no dolphins on site; taken at 1504 and time of last dolphin occupancy in pen was 1350",,
52345-113,extra_vacuum_longmires_PCI_1,205,bangor,1,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,1504,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_18,longmires,2023-03-30,EX111,EX111,PC,Megan Shaffer,NWFSC,,100,TlowE,TH,,,,,"from net pen, colder water; no dolphins on site; taken at 1504 and time of last dolphin occupancy in pen was 1350",,
52345-082,vacuum_longmires_PCI_1,189,bangor,1,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_2,longmires,2023-03-30,EX111,EX111,PC,Megan Shaffer,NWFSC,,100,TlowE,21.3,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,slight filter tear because jacuzzi from pump,
52345-115,extra_vacuum_longmires_PCI_3,207,bangor,3,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,1504,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_20,longmires,2023-03-30,EX111,EX111,PC,Megan Shaffer,NWFSC,,100,TlowE,58,,,,,"from net pen, colder water; no dolphins on site; taken at 1504 and time of last dolphin occupancy in pen was 1350",,
52345-085,vacuum_longmires_QBTK_1,192,bangor,1,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_3,longmires,2023-04-05,EX109,EX109,QBTK,Megan Shaffer,CEG,,100,AE,TL,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,slight filter tear because jacuzzi from pump,
52345-080,vacuum_longmires_zymo_2,187,bangor,2,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_4,longmires,2023-04-05,EX110,EX110,zymo,Megan Shaffer,CEG,,100,Zymo EB,1.24,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,,
52345-083,vacuum_longmires_PCI_2,190,bangor,2,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_5,longmires,2023-03-30,EX111,EX111,PC,Megan Shaffer,NWFSC,,100,TlowE,34.2,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,,
52345-086,vacuum_longmires_QBTK_2,193,bangor,2,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_6,longmires,2023-04-05,EX109,EX109,QBTK,Megan Shaffer,CEG,,100,AE,TL,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,,
52345-081,vacuum_longmires_zymo_3,188,bangor,3,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_7,longmires,2023-04-05,EX110,EX110,zymo,Megan Shaffer,CEG,,100,Zymo EB,3.93,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,,
52345-084,vacuum_longmires_PCI_3,191,bangor,3,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_8,longmires,2023-03-30,EX111,EX111,PC,Megan Shaffer,NWFSC,,100,TlowE,21.6,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,,
52345-087,vacuum_longmires_QBTK_3,194,bangor,3,,,2,eDNA,"Kim Parsons, Ryan Kelly",3000,MCE,5,2023-01-30,1503,offsite,2023-01-30,1830,,"Bangor Delta Pier, Hood Canal",,,0,bottle_9,longmires,2023-04-05,EX109,EX109,QBTK,Megan Shaffer,CEG,,100,AE,TL,,,,,taken at heated pool; n=1 dolphin in pool and n=2 dolphins in far pool; 079 to 087 were taken sequentially by field ID and then randomized; collected from 1500 to 1504,,
52345-131,SR_ESP_1,202,bangor,1,,,2,eDNA,"Eily Allan, Megan Shaffer",3000,MCE,5,2023-01-30,1533,onsite,2023-01-30,1533,,"Bangor Delta Pier, Hood Canal",,,0,ESP1,later,2023-03-09,EX112,EX112,QBTK,Megan Shaffer,CEG,,,,,,,,,taken right before ESP start,,
52345-132,SR_ESP_2,203,bangor,2,,,2,eDNA,"Eily Allan, Megan Shaffer",3000,MCE,5,2023-01-30,,onsite,2023-01-30,,,"Bangor Delta Pier, Hood Canal",,,0,ESP2,later,2023-03-09,EX112,EX112,QBTK,Megan Shaffer,CEG,,,,,,,,,,,
52345-133,SR_ESP_3,204,bangor,3,,,2,eDNA,"Eily Allan, Megan Shaffer",3000,MCE,5,2023-01-30,1535,onsite,2023-01-30,1535,,"Bangor Delta Pier, Hood Canal",,,0,ESP3,later,2023-03-09,EX112,EX112,QBTK,Megan Shaffer,CEG,,,,,,,,,taken at ESP start,,
